,team,luck,epa,rank,rank_epa_ratio
0,2996,-10.205000000000004,28.86,31,0.4851004851004851
1,3245,-8.597500000000002,17.79,1,2.4732996065205173
2,1569,-5.505833333333334,24.84,22,0.9259259259259259
3,8885,-5.487500000000005,16.56,7,2.2946859903381642
4,7436,-4.756666666666663,15.33,18,1.761252446183953
5,8,-4.593333333333334,33.95,38,0.20618556701030927
6,7634,-4.4691666666666725,23.51,6,1.658868566567418
7,3374,-4.292500000000005,31.29,36,0.28763183125599234
8,4598,-4.164999999999998,21.27,29,0.7522331922896098
9,8087,-3.1441666666666683,15.91,19,1.6341923318667504
10,4068,-3.043333333333336,37.81,39,0.15868817773075905
11,2972,-2.690833333333336,19.15,21,1.2532637075718016
12,7906,-2.6316666666666695,17.51,3,2.398629354654483
13,1828,-2.4016666666666713,17.04,5,2.347417840375587
14,2240,-2.39,52.47,43,0.03811701924909472
15,9044,-1.5233333333333332,17.13,4,2.3934617629889083
16,1332,-1.2274999999999994,19.24,34,0.5717255717255718
17,5851,-1.1700000000000024,34.31,40,0.1457301078402798
18,3405,-0.745000000000001,11.47,2,3.7489102005231034
19,4593,-0.49000000000000493,26.57,26,0.7150922092585623
20,3648,-0.010000000000001267,18.56,27,0.9698275862068966
21,9037,0.10749999999999756,15.61,13,2.0499679692504804
22,3200,0.3533333333333317,17.5,20,1.4285714285714286
23,4175,0.48416666666667013,25.95,28,0.6551059730250481
24,4348,0.6258333333333302,14.81,9,2.4307900067521944
25,4944,0.7483333333333334,25.2,25,0.7936507936507937
26,4550,0.749166666666668,39.04,42,0.07684426229508197
27,5071,0.8183333333333292,18.37,8,2.014153511159499
28,7895,0.9499999999999972,25.27,17,1.10803324099723
29,4499,1.2774999999999987,61.11,44,0.016363933889707086
30,6358,1.3291666666666668,13.64,12,2.4193548387096775
31,5933,2.3633333333333333,24.7,15,1.2145748987854252
32,2122,3.0699999999999985,35.42,41,0.1129305477131564
33,3243,3.0891666666666624,22.01,10,1.590186278964107
34,6400,3.0899999999999928,27.81,24,0.7551240560949299
35,4585,3.7183333333333306,14.83,35,0.6743088334457181
36,192,3.934166666666662,29.54,37,0.2708192281651997
37,8174,5.190000000000001,24.33,16,1.1919441019317716
38,6844,5.71583333333333,21.73,30,0.6902899217671422
39,701,6.005833333333331,11.19,32,1.161751563896336
40,6411,6.059999999999998,22.32,33,0.5376344086021505
41,2993,6.906666666666663,18.66,11,1.8220793140407288
42,9138,7.826666666666665,21.23,23,1.0362694300518134
43,3288,9.126666666666667,17.68,14,1.753393665158371
